bidder_id,payment_account,address,outcome,bid_count,unique_auctions,unique_devices,unique_countries,unique_ips,unique_urls,unique_merchandise,bids_per_auction,ips_per_bid,countries_per_bid,devices_per_bid,time_span,time_mean,time_std,time_diff_mean,time_diff_std,time_diff_min,zero_interval_count,zero_interval_ratio,country_entropy,device_entropy,url_entropy,merchandise_entropy,unique_subnets,subnets_per_bid,burst_max_strip1,burst_mean_strip1,burst_max_strip2,burst_mean_strip2,burst_max_strip3,burst_mean_strip3,burst_max_strip4,burst_mean_strip4,burst_max_strip5,burst_mean_strip5,burst_ratio_strip1,burst_ratio_strip2,burst_ratio_strip3,burst_ratio_strip4,burst_ratio_strip5,merch_auto parts_ratio,merch_books and music_ratio,merch_clothing_ratio,merch_computers_ratio,merch_furniture_ratio,merch_home goods_ratio,merch_jewelry_ratio,merch_mobile_ratio,merch_office equipment_ratio,merch_sporting goods_ratio,top5_country_ratio,log_bid_count,log_unique_auctions,log_unique_ips,log_unique_urls,log_time_span,log_time_std,log_burst_max_strip1,log_burst_max_strip2,log_burst_max_strip3,log_burst_max_strip4,log_burst_max_strip5
91a3c57b13234af24875c56fb7e2b2f4rb56a,a3d2de7675556553a5f08e4c88d2c228754av,a3d2de7675556553a5f08e4c88d2c228vt0u4,0.0,24.0,18.0,14.0,6.0,20.0,1.0,1.0,1.3333333333333333,0.8333333333333334,0.25,0.5833333333333334,13135578947369.0,9766126934210526.0,3847460386548.0293,547315789473.6667,736803684026.3475,0.0,1.0,0.041666666666666664,1.930155958303694,3.4591478968295135,-1.4426951595367387e-09,-1.4426951595367387e-09,20.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20833333333333334,3.2188758248682006,2.9444389791664403,3.044522437723423,0.6931471805599453,30.20634561478827,28.978434406712754,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
624f258b49e77713fc34034560f93fb3hu3jo,a3d2de7675556553a5f08e4c88d2c228v1sga,ae87054e5a97a8f840a3991d12611fdcrfbq3,0.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,0.3333333333333333,0.6666666666666666,6467157894737.0,9766865929824560.0,3312415494906.9697,2155719298246.0,2243554116956.5156,0.0,1.0,0.3333333333333333,-1.4426951595367387e-09,0.9182958311690995,0.9182958311690995,-1.4426951595367387e-09,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.3862943611198906,0.6931471805599453,1.3862943611198906,1.0986122886681098,29.497757853548485,28.828698795944298,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
1c5f4fc669099bfbfac515cd26997bd12ruaj,a3d2de7675556553a5f08e4c88d2c2280cybl,92520288b50f03907041887884ba49c0cl0pd,0.0,4.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.25,0.5,7137000000000.0,9769394684210526.0,3130458225818.421,1784250000000.0,1382078278604.2363,0.0,1.0,0.25,-1.4426951595367387e-09,0.8112781215737428,0.8112781215737428,-1.4426951595367387e-09,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.0986122886681098,29.596313635917618,28.77220050779084,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
4bee9aba2abda51bf43d639013d6efe12iycd,51d80e233f7b6a7dfdee484a3c120f3b2ita8,4cb9717c8ad7e88a9a284989dd79b98dbevyi,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9706442210526316.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.4426951595367387e-09,-1.4426951595367387e-09,-1.4426951595367387e-09,-1.4426951595367387e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
4ab12bc61c82ddd9c2d65e60555808acqgos1,a3d2de7675556553a5f08e4c88d2c22857ddh,2a96c3ce94b3be921e0296097b88b56a7x1ji,0.0,155.0,23.0,53.0,2.0,123.0,91.0,1.0,6.739130434782608,0.7935483870967742,0.012903225806451613,0.3419354838709677,11977947368422.0,9762118088624786.0,2944202520735.797,77277079796.27097,214818770061.8381,0.0,1.0,0.0064516129032258064,0.05622035550488114,4.9289880300169555,5.101101995966886,-1.4426951595367387e-09,123.0,0.7935483870967742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.049856007249537,3.1780538303479458,4.820281565605037,4.5217885770490405,30.114088355740712,28.710859105440324,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
7eaefc97fbf6af12e930528151f86eb91bafh,a3d2de7675556553a5f08e4c88d2c228yory1,5a1d8f28bc31aa6d72bef2d8fbf48b967hra3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9761130157894736.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.4426951595367387e-09,-1.4426951595367387e-09,-1.4426951595367387e-09,-1.4426951595367387e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
25558d24bca82beef0f9db4ba1fe2045ynnvq,81580585d4dedd473da11aabf37fe9d4e2s2n,9a6d81115b9b653ba326eb510e9163b47drqj,0.0,8.0,8.0,2.0,1.0,3.0,8.0,1.0,1.0,0.375,0.125,0.25,11192315789473.0,9763140638157894.0,4859539301735.766,1399039473684.25,2501168746948.428,0.0,1.0,0.125,-1.4426951595367387e-09,0.9544340000395749,2.99999998845844,-1.4426951595367387e-09,3.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.1972245773362196,2.1972245773362196,1.3862943611198906,2.1972245773362196,30.046248568536456,29.211964755466404,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
88ae7a35e374a6fddd079ebb28c822eeohwse,a3d2de7675556553a5f08e4c88d2c2289zref,3a7e6a32b24aeab0688e91a41f3188e22iuec,0.0,34.0,10.0,3.0,3.0,32.0,1.0,1.0,3.4,0.9411764705882353,0.08823529411764706,0.08823529411764706,5597052631579.0,9764103883900928.0,1183662760698.0493,164619195046.47058,364102947820.9966,0.0,1.0,0.029411764705882353,1.14588661150359,0.3815804839810779,-1.4426951595367387e-09,-1.4426951595367387e-09,32.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5553480614894135,2.3978952727983707,3.4965075614664802,0.6931471805599453,29.353261259327592,27.799634781327786,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
57db69e32163f3e486dc6ef7d615aa12usje6,bf1c3151cc309308077ad0ccb99779ad12apw,31b95425d178b89fd7306762bb48bfb5n04sj,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,68219894736842.0,9670665263157894.0,48238750180254.86,34109947368422.0,48238750180254.86,0.0,1.0,0.5,-1.4426951595367387e-09,0.99999999711461,0.99999999711461,-1.4426951595367387e-09,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,31.853757349922297,31.507183759642363,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
d1be739798ba0745a1fd72ac918a9f1929hei,f49162ea9903fc00e4721d2f7972df9d6az4s,5b1f6e97a1cc27cd7fa9a3fe17eccd2a6mpdv,0.0,14.0,10.0,11.0,5.0,12.0,7.0,1.0,1.4,0.8571428571428571,0.35714285714285715,0.7857142857142857,69080894736842.0,9697817819548872.0,17405659340809.064,4934349624060.143,15123886574547.953,0.0,1.0,0.07142857142857142,1.7534343789753097,3.324862941747711,2.4956029136301474,-1.4426951595367387e-09,12.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,2.70805020110221,2.3978952727983707,2.5649493574615367,2.0794415416798357,31.866299321306744,30.487816518738732,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
